theta,sharpe,bear,n_active
0.0,0.869,-0.631,10
0.032,0.869,-0.631,10
0.065,0.869,-0.631,10
0.097,0.869,-0.631,10
0.13,0.869,-0.631,10
0.162,0.869,-0.631,10
0.194,0.869,-0.631,10
0.227,0.869,-0.631,10
0.259,0.869,-0.631,10
0.291,0.869,-0.631,10
0.324,0.87,-0.631,10
0.356,0.88,-0.621,10
0.389,0.89,-0.608,10
0.421,0.898,-0.595,9
0.453,0.903,-0.583,8
0.486,0.906,-0.566,8
0.518,0.906,-0.545,8
0.551,0.899,-0.519,7
0.583,0.888,-0.489,7
0.615,0.874,-0.455,7
0.648,0.851,-0.419,3
0.68,0.791,-0.375,3
0.712,0.719,-0.322,3
0.745,0.663,-0.264,2
