theta,sharpe,bear,n_eff_hhi,n_eff_entropy,max_weight
0.0,0.869,-0.631,7.531,8.59,0.224
0.032,0.869,-0.631,7.531,8.59,0.224
0.065,0.869,-0.631,7.531,8.59,0.224
0.097,0.869,-0.631,7.531,8.59,0.224
0.13,0.869,-0.631,7.531,8.59,0.224
0.162,0.869,-0.631,7.531,8.59,0.224
0.194,0.869,-0.631,7.531,8.59,0.224
0.227,0.869,-0.631,7.531,8.59,0.224
0.259,0.869,-0.631,7.531,8.59,0.224
0.291,0.869,-0.631,7.531,8.59,0.224
0.324,0.87,-0.631,7.515,8.586,0.225
0.356,0.88,-0.621,7.15,8.376,0.245
0.389,0.89,-0.608,6.616,7.911,0.266
0.421,0.898,-0.595,6.019,7.194,0.286
0.453,0.903,-0.583,5.461,6.474,0.304
0.486,0.906,-0.566,4.954,6.014,0.327
0.518,0.906,-0.545,4.428,5.388,0.352
0.551,0.899,-0.519,3.962,4.821,0.378
0.583,0.888,-0.489,3.515,4.269,0.405
0.615,0.874,-0.455,3.088,3.597,0.435
0.648,0.851,-0.419,2.722,2.854,0.477
0.68,0.791,-0.375,2.358,2.641,0.578
0.712,0.719,-0.322,1.827,2.196,0.705
0.745,0.663,-0.264,1.208,1.369,0.905
