,sharpe,rho,ann_vol,bear_sharpe,normal_sharpe,bull_sharpe,null_bear_sharpe,convexity_premium,group
Balanced,0.545,1.0,0.105,-0.836,0.539,0.842,-0.756,-0.08,bench
CTA 1,0.335,-0.343,0.097,0.408,0.11,-0.184,0.343,0.066,CTA
CTA 2,0.203,-0.112,0.148,0.147,0.051,0.004,0.127,0.021,CTA
CTA 3,0.346,-0.087,0.1,0.121,0.305,-0.08,0.129,-0.008,CTA
CTA 4,0.409,-0.016,0.087,0.1,0.157,0.152,0.079,0.021,CTA
CTA 5,0.348,-0.057,0.132,0.08,0.361,-0.093,0.104,-0.024,CTA
LS 1,0.657,-0.089,0.052,0.076,0.671,-0.089,0.18,-0.104,LS
LS 2,1.471,0.594,0.034,-0.316,1.062,0.726,-0.265,-0.051,LS
LS 3,0.434,0.644,0.048,-0.404,0.217,0.621,-0.473,0.069,LS
LS 4,0.504,0.7,0.157,-0.527,0.509,0.522,-0.509,-0.018,LS
LS 5,0.596,0.824,0.109,-0.725,0.624,0.697,-0.599,-0.126,LS
QIS 1,0.013,-0.643,0.1,0.656,-0.245,-0.398,0.544,0.112,LongVol
QIS 2,-0.22,-0.681,0.1,0.61,-0.305,-0.525,0.539,0.07,LongVol
QIS 3,-0.364,-0.383,0.1,0.311,-0.494,-0.182,0.265,0.047,LongVol
QIS 4,-0.434,-0.246,0.1,0.164,-0.442,-0.156,0.138,0.026,LongVol
QIS 5,-0.039,-0.204,0.1,0.13,-0.133,-0.036,0.166,-0.036,LongVol
EW 1/15,0.525,-0.062,0.041,0.15,0.288,0.087,0.136,0.014,ew
