,"Fast LS(5,21)","Medium-Fast LS(10,63)","Medium LS(20,126)","Slow LS(20,252)","Ultra-Slow LS(20,504)"
1975-12-31,0.091,0.645,0.246,0.019,0.0
1976-12-31,0.04,0.388,0.255,0.245,0.072
1977-12-31,0.0,0.423,0.301,0.264,0.012
1978-12-31,0.0,0.338,0.273,0.3,0.09
1979-12-31,0.0,0.295,0.233,0.32,0.152
1980-12-31,0.081,0.462,0.237,0.22,0.0
1981-12-31,0.0,0.517,0.242,0.24,0.0
1982-12-31,0.0,0.409,0.272,0.319,0.0
1983-12-31,0.0,0.425,0.237,0.338,0.0
1984-12-31,0.0,0.411,0.212,0.313,0.064
1985-12-31,0.0,0.381,0.403,0.216,0.0
1986-12-31,0.0,0.167,0.459,0.341,0.033
1987-12-31,0.0,0.386,0.378,0.236,0.0
1988-12-31,0.0,0.542,0.209,0.249,0.0
1989-12-31,0.0,0.298,0.343,0.359,0.0
1990-12-31,0.0,0.237,0.361,0.402,0.0
1991-12-31,0.0,0.236,0.374,0.347,0.043
1992-12-31,0.0,0.169,0.319,0.347,0.165
1993-12-31,0.0,0.174,0.301,0.332,0.193
1994-12-31,0.0,0.308,0.329,0.294,0.069
1995-12-31,0.0,0.358,0.328,0.234,0.079
1996-12-31,0.0,0.318,0.336,0.251,0.094
1997-12-31,0.0,0.329,0.335,0.254,0.082
1998-12-31,0.0,0.364,0.324,0.249,0.063
1999-12-31,0.0,0.27,0.325,0.274,0.131
2000-12-31,0.0,0.171,0.351,0.337,0.141
2001-12-31,0.0,0.046,0.335,0.389,0.231
2002-12-31,0.0,0.011,0.34,0.398,0.251
2003-12-31,0.0,0.07,0.328,0.362,0.24
2004-12-31,0.0,0.075,0.258,0.365,0.301
2005-12-31,0.0,0.001,0.226,0.397,0.375
2006-12-31,0.0,0.0,0.172,0.41,0.418
2007-12-31,0.0,0.0,0.153,0.428,0.418
2008-12-31,0.0,0.051,0.418,0.508,0.022
2009-12-31,0.0,0.087,0.427,0.379,0.107
2010-12-31,0.0,0.126,0.332,0.357,0.185
2011-12-31,0.0,0.084,0.325,0.361,0.23
2012-12-31,0.0,0.038,0.254,0.355,0.354
2013-12-31,0.0,0.012,0.234,0.413,0.342
2014-12-31,0.0,0.072,0.216,0.365,0.347
2015-12-31,0.0,0.0,0.179,0.403,0.418
2016-12-31,0.0,0.0,0.256,0.369,0.376
2017-12-31,0.0,0.0,0.225,0.377,0.398
2018-12-31,0.0,0.0,0.242,0.407,0.351
2019-12-31,0.0,0.0,0.243,0.361,0.396
2020-12-31,0.0,0.0,0.168,0.392,0.439
2021-12-31,0.0,0.027,0.185,0.407,0.381
2022-12-31,0.0,0.0,0.181,0.469,0.351
2023-12-31,0.0,0.0,0.244,0.457,0.299
2024-12-31,0.0,0.0,0.04,0.47,0.49
2025-12-31,0.0,0.0,0.0,0.425,0.575
