,sharpe,rho,ann_vol,bear_sharpe,normal_sharpe,bull_sharpe,null_bear_sharpe,convexity_premium
Balanced,0.446,1.0,0.105,-0.487,0.426,0.506,-0.415,-0.072
"Fast LS(5,21)",-0.185,-0.361,0.109,0.274,-0.438,-0.022,0.146,0.128
"Medium-Fast LS(10,63)",0.247,-0.284,0.1,0.35,-0.166,0.063,0.178,0.172
"Medium LS(20,126)",0.503,-0.231,0.099,0.354,0.091,0.058,0.193,0.161
"Slow LS(20,252)",0.633,-0.229,0.102,0.327,0.277,0.029,0.213,0.114
SG Trend,0.319,-0.182,0.138,0.278,0.002,0.04,0.14,0.138
PutWrite,0.445,0.849,0.122,-0.435,0.491,0.389,-0.342,-0.093
Gold,0.643,0.126,0.092,0.063,0.432,0.148,0.041,0.021
Long Duration,0.344,-0.229,0.108,0.229,0.094,0.021,0.167,0.063
100/100 Stack,0.743,0.66,0.129,-0.139,0.416,0.466,-0.202,0.063
